0.0000 0.0000 0.0000
0.0000 0.2564 0.0000
0.0000 0.5128 0.0000
0.0000 0.7692 0.0000
0.0000 1.0256 0.0000
0.0000 1.2821 0.0000
0.0000 1.5385 0.0000
0.0000 1.7949 0.0000
0.0000 2.0513 0.0000
0.0000 2.3077 0.0000
0.0000 2.5641 0.0000
0.0000 2.8205 0.0000
0.0000 3.0769 0.0000
0.0000 3.3333 0.0000
0.0000 3.5897 0.0000
0.0000 3.8462 0.0001
0.0000 4.1026 0.0001
0.0000 4.3590 0.0001
0.0000 4.6154 0.0001
0.0000 4.8718 0.0001
0.0000 5.1282 0.0001
0.0000 5.3846 0.0001
0.0000 5.6410 0.0001
0.0000 5.8974 0.0001
0.0000 6.1538 0.0001
0.0000 6.4103 0.0000
0.0000 6.6667 0.0000
0.0000 6.9231 0.0000
0.0000 7.1795 0.0000
0.0000 7.4359 0.0000
0.0000 7.6923 0.0000
0.0000 7.9487 0.0000
0.0000 8.2051 0.0000
0.0000 8.4615 0.0000
0.0000 8.7179 0.0000
0.0000 8.9744 0.0000
0.0000 9.2308 0.0000
0.0000 9.4872 0.0000
0.0000 9.7436 0.0000
0.0000 10.0000 0.0000
0.2564 0.0000 0.0000
0.2564 0.2564 0.0000
0.2564 0.5128 0.0000
0.2564 0.7692 0.0000
0.2564 1.0256 0.0000
0.2564 1.2821 0.0000
0.2564 1.5385 0.0000
0.2564 1.7949 0.0000
0.2564 2.0513 0.0000
0.2564 2.3077 0.0000
0.2564 2.5641 0.0001
0.2564 2.8205 0.0001
0.2564 3.0769 0.0001
0.2564 3.3333 0.0001
0.2564 3.5897 0.0001
0.2564 3.8462 0.0001
0.2564 4.1026 0.0001
0.2564 4.3590 0.0001
0.2564 4.6154 0.0001
0.2564 4.8718 0.0001
0.2564 5.1282 0.0001
0.2564 5.3846 0.0001
0.2564 5.6410 0.0001
0.2564 5.8974 0.0001
0.2564 6.1538 0.0001
0.2564 6.4103 0.0001
0.2564 6.6667 0.0001
0.2564 6.9231 0.0001
0.2564 7.1795 0.0001
0.2564 7.4359 0.0001
0.2564 7.6923 0.0000
0.2564 7.9487 0.0000
0.2564 8.2051 0.0000
0.2564 8.4615 0.0000
0.2564 8.7179 0.0000
0.2564 8.9744 0.0000
0.2564 9.2308 0.0000
0.2564 9.4872 0.0000
0.2564 9.7436 0.0000
0.2564 10.0000 0.0000
0.5128 0.0000 0.0000
0.5128 0.2564 0.0000
0.5128 0.5128 0.0000
0.5128 0.7692 0.0000
0.5128 1.0256 0.0000
0.5128 1.2821 0.0000
0.5128 1.5385 0.0000
0.5128 1.7949 0.0001
0.5128 2.0513 0.0001
